DATE,UNRATE_CHG
1948-04-01,-0.0666666666666666
1948-07-01,0.1000000000000000
1948-10-01,0.0666666666666666
1949-01-01,0.8333333333333334
1949-04-01,1.2000000000000000
1949-07-01,0.8333333333333333
1949-10-01,0.2666666666666667
1950-01-01,-0.5666666666666667
1950-04-01,-0.8333333333333333
1950-07-01,-0.9333333333333334
1950-10-01,-0.4000000000000000
1951-01-01,-0.7333333333333333
1951-04-01,-0.4000000000000000
1951-07-01,0.0666666666666667
1951-10-01,0.2000000000000000
1952-01-01,-0.3000000000000000
1952-04-01,-0.1000000000000000
1952-07-01,0.2666666666666666
1952-10-01,-0.4000000000000000
1953-01-01,-0.1333333333333333
1953-04-01,-0.1333333333333333
1953-07-01,0.1666666666666666
1953-10-01,0.9666666666666667
1954-01-01,1.5666666666666667
1954-04-01,0.5333333333333333
1954-07-01,0.1666666666666667
1954-10-01,-0.6333333333333334
1955-01-01,-0.6000000000000000
1955-04-01,-0.3333333333333333
1955-07-01,-0.3000000000000000
1955-10-01,0.1333333333333333
1956-01-01,-0.2000000000000000
1956-04-01,0.1666666666666667
1956-07-01,-0.0666666666666667
1956-10-01,0.0000000000000000
1957-01-01,-0.2000000000000000
1957-04-01,0.1666666666666667
1957-07-01,0.1333333333333333
1957-10-01,0.7000000000000000
1958-01-01,1.3666666666666667
1958-04-01,1.0666666666666667
1958-07-01,-0.0333333333333334
1958-10-01,-0.9666666666666666
1959-01-01,-0.5333333333333334
1959-04-01,-0.7333333333333333
1959-07-01,0.1666666666666667
1959-10-01,0.3333333333333333
1960-01-01,-0.4666666666666667
1960-04-01,0.1000000000000000
1960-07-01,0.3000000000000000
1960-10-01,0.7333333333333334
1961-01-01,0.5333333333333333
1961-04-01,0.2000000000000000
1961-07-01,-0.2333333333333333
1961-10-01,-0.5666666666666667
1962-01-01,-0.5666666666666667
1962-04-01,-0.1000000000000000
1962-07-01,0.0333333333333334
1962-10-01,-0.0333333333333334
1963-01-01,0.2333333333333334
1963-04-01,-0.0333333333333334
1963-07-01,-0.2333333333333333
1963-10-01,0.0666666666666667
1964-01-01,-0.1000000000000000
1964-04-01,-0.2666666666666667
1964-07-01,-0.2000000000000000
1964-10-01,-0.0333333333333333
1965-01-01,-0.0666666666666667
1965-04-01,-0.2333333333333333
1965-07-01,-0.3000000000000000
1965-10-01,-0.2666666666666667
1966-01-01,-0.2333333333333333
1966-04-01,-0.0333333333333334
1966-07-01,-0.0666666666666666
1966-10-01,-0.0666666666666667
1967-01-01,0.1333333333333333
1967-04-01,0.0000000000000000
1967-07-01,-0.0333333333333333
1967-10-01,0.1000000000000000
1968-01-01,-0.1666666666666667
1968-04-01,-0.1666666666666666
1968-07-01,-0.0333333333333334
1968-10-01,-0.1333333333333333
1969-01-01,0.0000000000000000
1969-04-01,0.0333333333333333
1969-07-01,0.1333333333333334
1969-10-01,0.0000000000000000
1970-01-01,0.6000000000000000
1970-04-01,0.6000000000000000
1970-07-01,0.4000000000000000
1970-10-01,0.6666666666666666
1971-01-01,0.1000000000000000
1971-04-01,-0.0333333333333333
1971-07-01,0.1333333333333333
1971-10-01,-0.1000000000000000
1972-01-01,-0.1666666666666666
1972-04-01,-0.0666666666666667
1972-07-01,-0.1333333333333333
1972-10-01,-0.2000000000000000
1973-01-01,-0.4333333333333334
1973-04-01,0.0000000000000000
1973-07-01,-0.1333333333333333
1973-10-01,-0.0333333333333333
1974-01-01,0.3666666666666666
1974-04-01,0.0666666666666667
1974-07-01,0.4333333333333333
1974-10-01,0.9666666666666667
1975-01-01,1.6666666666666667
1975-04-01,0.6000000000000000
1975-07-01,-0.4000000000000000
1975-10-01,-0.1666666666666667
1976-01-01,-0.5666666666666667
1976-04-01,-0.1666666666666666
1976-07-01,0.1666666666666666
1976-10-01,0.0333333333333334
1977-01-01,-0.2666666666666667
1977-04-01,-0.3666666666666667
1977-07-01,-0.2333333333333333
1977-10-01,-0.2333333333333333
1978-01-01,-0.3333333333333334
1978-04-01,-0.3333333333333333
1978-07-01,0.0333333333333333
1978-10-01,-0.1333333333333333
1979-01-01,-0.0333333333333333
1979-04-01,-0.1666666666666667
1979-07-01,0.1666666666666667
1979-10-01,0.1000000000000000
1980-01-01,0.3333333333333333
1980-04-01,1.0333333333333333
1980-07-01,0.3333333333333334
1980-10-01,-0.2666666666666667
1981-01-01,0.0333333333333333
1981-04-01,-0.0333333333333333
1981-07-01,0.0000000000000000
1981-10-01,0.8333333333333333
1982-01-01,0.6000000000000000
1982-04-01,0.6000000000000000
1982-07-01,0.4666666666666667
1982-10-01,0.7666666666666667
1983-01-01,-0.3000000000000000
1983-04-01,-0.2333333333333334
1983-07-01,-0.7666666666666666
1983-10-01,-0.8333333333333334
1984-01-01,-0.6666666666666666
1984-04-01,-0.4333333333333334
1984-07-01,0.0000000000000000
1984-10-01,-0.1333333333333333
1985-01-01,-0.0666666666666667
1985-04-01,0.0666666666666667
1985-07-01,-0.1000000000000000
1985-10-01,-0.1666666666666667
1986-01-01,0.0000000000000000
1986-04-01,0.1333333333333334
1986-07-01,-0.2000000000000000
1986-10-01,-0.1333333333333334
1987-01-01,-0.2333333333333333
1987-04-01,-0.3333333333333333
1987-07-01,-0.2666666666666667
1987-10-01,-0.1666666666666667
1988-01-01,-0.1333333333333333
1988-04-01,-0.2333333333333333
1988-07-01,0.0000000000000000
1988-10-01,-0.1333333333333334
1989-01-01,-0.1333333333333333
1989-04-01,0.0333333333333333
1989-07-01,0.0000000000000000
1989-10-01,0.1333333333333334
1990-01-01,-0.0666666666666667
1990-04-01,0.0333333333333333
1990-07-01,0.3666666666666667
1990-10-01,0.4333333333333333
1991-01-01,0.4666666666666667
1991-04-01,0.2333333333333333
